Cong ID,Congregation Name,Number of Youth Male,Number of Youth Female,Number of Youth Nonbinary,Number of Youth Gender Non-Conforming,Number of Adult Male,Number of Adult Female,Number of Adult Nonbinary,Number of Adult Gender Non-Conforming,Number of MYLE participants,Number of the tAble participants,Doubles Requested,Kings Requested,Priority Incentive,Hotel Price Range,Hotel Location
3296,Kountze Memorial Lutheran Church,,4,,,,2,,,,,,,,,
14717,Lakeview Lutheran Church,4,2,,,1,1,,,,,1,3,Hotel location,$151-165 + tax,Downtown
11975,Lands Lutheran Church,1,6,,,,2,,,,,3,,Accompaniment experience,$151-165 + tax,Downtown
14685,Lewis Valley Lutheran Church,3,1,,,1,1,,,,,3,,Hotel location,$166-185 + tax,Convention Center
5095,Lihue Lutheran Church,1,2,,,2,1,,,,,1,2,Hotel price,$140-150 + tax,Convention Center
11702,Little Cedar Lutheran Church,5,7,,,2,2,,,,,4,2,Accompaniment experience,$151-165 + tax,Convention Center
7829,Living Springs Lutheran Church,7,6,,,2,2,,,6,,4,2,Hotel location,$151-165 + tax,Downtown
30373,Living Water Lutheran Church,2,1,,1,1,1,,,,,3,1,Hotel location,$166-185 + tax,French Quarter
30266,Living Waters Lutheran Church,3,3,,,2,1,,,,,3,,Hotel location,$151-165 + tax,Convention Center
30200,Living Waters Lutheran Church,5,2,,,2,2,,,,,3,2,Hotel location,$151-165 + tax,Downtown
7487,Living Word Lutheran Church,2,9,,1,1,2,,,,,,,,,
13229,Lord of Life Lutheran Church,,,,,,1,,,,,,,,,
7518,Lord Of Life Lutheran Church,2,1,,,1,1,,,,,2,2,Hotel location,$151-165 + tax,Superdome
12577,Lord Of Life Lutheran Church,,7,,,1,2,,,,,3,1,,,
7827,Lord Of Life Lutheran Church,3,9,,,2,2,,,,,6,,Hotel location,$151-165 + tax,Downtown
7539,Lord Of Life Lutheran Church,1,18,,,1,4,,,,,10,,Hotel location,$151-165 + tax,Downtown
10189,Lord Of Love Lutheran Church,3,3,,,,2,,,,,3,,Hotel location,$166-185 + tax,Convention Center
30319,Lord of the Hills Lutheran Church,1,3,,,1,1,,,,,4,,Hotel location,$151-165 + tax,Convention Center
16255,Lord Of The Seas Lutheran Church,2,,,,1,1,,,,,2,,Hotel location,$151-165 + tax,Convention Center
7763,Love Of Christ Lutheran Church,2,3,,,1,1,,,,,,,,,
14457,Luck Lutheran Church,8,7,,,1,3,,,,,7,1,Accompaniment experience,$151-165 + tax,French Quarter
9900,Luther Heights Bible Camp,12,9,,,1,3,,,,,2,2,Accompaniment experience,$140-150 + tax,Downtown
2114,Luther Memorial Lutheran Church,3,1,,,1,1,,,,,2,,Hotel price,$140-150 + tax,Downtown
6286,Luther Memorial Lutheran Church,4,4,,,2,4,,,,,2,3,Accompaniment experience,$166-185 + tax,Downtown
10237,Luther Memorial Lutheran Church,5,8,,1,1,3,,,,,5,,Accompaniment experience,$140-150 + tax,Downtown
5092,Lutheran Church Of Honolulu,5,5,,,2,3,,,,,3,4,Hotel location,$151-165 + tax,
10035,Lutheran Church Of Hope,4,2,,,,2,,,,,6,1,Hotel location,$151-165 + tax,Downtown
10712,Lutheran Church of Mahomet,1,5,,,2,1,,,,,4,,Hotel price,$151-165 + tax,Superdome
4110,Lutheran Church of Our Father,3,2,,,1,3,,,3,,3,1,Hotel location,$166-185 + tax,Superdome
7525,Lutheran Church Of Our Saviour,1,,,,,1,,,,,1,1,Accompaniment experience,$140-150 + tax,Downtown
14774,Lutheran Church Of Peace,1,2,,,,1,,,,,2,2,Hotel location,$166-185 + tax,French Quarter
20039,Lutheran Church Of The Atonement,2,4,,,1,2,,,9,,4,,Hotel location,$140-150 + tax,Downtown
16198,Lutheran Church Of The Cross,2,5,,,1,1,,,,,3,2,Hotel location,$140-150 + tax,Downtown
11591,Lutheran Church of the Good Shepherd,,4,,,,1,,,,,,,,,
12921,Lutheran Church Of The Good Shepherd,1,2,,,,,,1,,,2,1,Accompaniment experience,$151-165 + tax,French Quarter
880,Lutheran Church Of The Good Shepherd,3,2,,,,2,,,,,2,2,Hotel location,$140-150 + tax,Superdome
